<NUMBER OF NODES> 	10538
<NUMBER OF LINKS> 	28178
<END OF METADATA>		


~ 	Tail 	Head 	: 	Volume 	Cost 	; 
	21 	22 	: 	5806.28 	3.2671 	; 
	21 	10526 	: 	0 	inf 	; 
	22 	21 	: 	0 	inf 	; 
	22 	23 	: 	5806.28 	1.65831 	; 
	23 	22 	: 	0 	inf 	; 
	23 	24 	: 	5806.28 	3.39202 	; 
	24 	2 	: 	0 	inf 	; 
	24 	23 	: 	0 	inf 	; 
	24 	25 	: 	6233.03 	4.55811 	; 
	25 	24 	: 	0 	inf 	; 
	25 	26 	: 	6233.03 	2.06845 	; 
	26 	25 	: 	0 	inf 	; 
	26 	3362 	: 	6233.03 	3.4624 	; 
	27 	28 	: 	0 	inf 	; 
	27 	10526 	: 	214.8 	5.39928 	; 
	28 	27 	: 	214.8 	4.62687 	; 
	28 	29 	: 	0 	inf 	; 
	29 	28 	: 	214.8 	3.97843 	; 
	29 	9123 	: 	0 	inf 	; 
	30 	70 	: 	0 	inf 	; 
	30 	9123 	: 	214.8 	2.47922 	; 
	31 	10489 	: 	0 	inf 	; 
	31 	10535 	: 	1637.68 	10.661 	; 
	32 	16 	: 	0 	inf 	; 
	32 	10525 	: 	2140.9 	7.96185 	; 
	33 	10525 	: 	0 	inf 	; 
	33 	10527 	: 	418.833 	12.2171 	; 
	34 	35 	: 	418.833 	6.65243 	; 
	34 	10486 	: 	0 	inf 	; 
	35 	34 	: 	0 	inf 	; 
	35 	10485 	: 	418.833 	3.55461 	; 
	36 	37 	: 	364.067 	9.54966 	; 
	36 	55 	: 	296.8 	0.723734 	; 
	36 	56 	: 	0 	3.05196 	; 
	36 	9122 	: 	0 	inf 	; 
	37 	36 	: 	0 	inf 	; 
	37 	9117 	: 	364.067 	3.16339 	; 
	38 	3709 	: 	877.2 	5.87222 	; 
	38 	9119 	: 	0 	inf 	; 
	39 	40 	: 	0 	inf 	; 
	39 	9121 	: 	2777.81 	11.5345 	; 
	40 	39 	: 	2777.81 	2.57091 	; 
	40 	41 	: 	0 	inf 	; 
	41 	40 	: 	2777.81 	20.636 	; 
	41 	42 	: 	0 	inf 	; 
	42 	41 	: 	2777.81 	1.94816 	; 
	42 	10532 	: 	0 	inf 	; 
	43 	10532 	: 	2777.81 	3.14446 	; 
	43 	10534 	: 	0 	inf 	; 
	44 	8 	: 	132 	32.8253 	; 
	44 	45 	: 	0 	inf 	; 
	45 	44 	: 	132 	9.72811 	; 
	45 	10216 	: 	0 	inf 	; 
	46 	47 	: 	0 	inf 	; 
	46 	10216 	: 	132 	11.8703 	; 
	47 	46 	: 	132 	2.81424 	; 
	47 	10534 	: 	0 	inf 	; 
	48 	51 	: 	1819.27 	3.77609 	; 
	48 	8774 	: 	0 	inf 	; 
	49 	50 	: 	0 	inf 	; 
	49 	77 	: 	0 	inf 	; 
	49 	3454 	: 	6081.2 	11.0746 	; 
	50 	49 	: 	1819.27 	5.72529 	; 
	50 	51 	: 	0 	inf 	; 
	51 	48 	: 	0 	inf 	; 
	51 	50 	: 	1819.27 	13.6681 	; 
	52 	8774 	: 	97.2 	1.7726 	; 
	52 	10492 	: 	0 	inf 	; 
	53 	10530 	: 	1174 	4.64664 	; 
	53 	10531 	: 	875.1 	0.75172 	; 
	54 	55 	: 	364.067 	4.0402 	; 
	54 	10531 	: 	296.8 	0.836104 	; 
	55 	36 	: 	364.067 	0.724798 	; 
	55 	54 	: 	296.8 	4.03427 	; 
	56 	36 	: 	0 	3.05196 	; 
	57 	3457 	: 	9235.04 	20.2217 	; 
	57 	10535 	: 	0 	inf 	; 
	57 	10537 	: 	0 	inf 	; 
	58 	59 	: 	0 	inf 	; 
	58 	10485 	: 	0 	inf 	; 
	58 	10535 	: 	5922.13 	5.22089 	; 
	59 	58 	: 	5503.3 	2.34368 	; 
	59 	60 	: 	0 	inf 	; 
	60 	59 	: 	5503.3 	2.44171 	; 
	60 	61 	: 	0 	inf 	; 
	61 	60 	: 	5503.3 	4.46761 	; 
	61 	62 	: 	0 	inf 	; 
	62 	61 	: 	5503.3 	1.87732 	; 
	62 	63 	: 	0 	inf 	; 
	63 	62 	: 	5503.3 	7.4068 	; 
	63 	64 	: 	0 	inf 	; 
	63 	3710 	: 	0 	inf 	; 
	64 	63 	: 	4992.27 	3.81041 	; 
	64 	65 	: 	0 	inf 	; 
	65 	64 	: 	4992.27 	13.2944 	; 
	65 	66 	: 	0 	inf 	; 
	66 	65 	: 	4992.27 	1.93109 	; 
	66 	9118 	: 	0 	inf 	; 
	67 	68 	: 	0 	inf 	; 
	67 	9118 	: 	5869.47 	6.7444 	; 
	68 	67 	: 	5869.47 	3.74832 	; 
	68 	8102 	: 	0 	inf 	; 
	68 	10533 	: 	2909.81 	6.41129 	; 
	69 	70 	: 	4409.47 	1.92414 	; 
	69 	10536 	: 	0 	inf 	; 
	70 	30 	: 	214.8 	6.07032 	; 
	70 	69 	: 	0 	inf 	; 
	70 	71 	: 	4194.67 	4.25174 	; 
	71 	70 	: 	0 	inf 	; 
	71 	72 	: 	4194.67 	1.75155 	; 
	72 	71 	: 	0 	inf 	; 
	72 	9122 	: 	4194.67 	7.64547 	; 
	73 	74 	: 	3897.87 	11.5088 	; 
	73 	9122 	: 	0 	inf 	; 
	74 	73 	: 	0 	inf 	; 
	74 	75 	: 	3897.87 	1.94266 	; 
	75 	74 	: 	0 	inf 	; 
	75 	76 	: 	3897.87 	4.31613 	; 
	76 	75 	: 	0 	inf 	; 
	76 	77 	: 	4261.93 	4.36141 	; 
	76 	9117 	: 	0 	inf 	; 
	77 	49 	: 	4261.93 	3.85016 	; 
	77 	76 	: 	0 	inf 	; 
	78 	3688 	: 	0 	inf 	; 
	78 	9079 	: 	0 	1.41799 	; 
	78 	9081 	: 	630.264 	9.54787 	; 
	79 	8646 	: 	0 	17.8353 	; 
	79 	9079 	: 	0 	inf 	; 
	79 	9080 	: 	0 	16.9682 	; 
	80 	219 	: 	704.771 	1.72529 	; 
	80 	3371 	: 	167.421 	11.4973 	; 
	81 	83 	: 	0 	17.5532 	; 
	82 	83 	: 	0 	8.58476 	; 
	83 	81 	: 	0 	17.5532 	; 
	83 	82 	: 	0 	8.58476 	; 
	83 	3372 	: 	812.061 	1.91214 	; 
	83 	4300 	: 	463.867 	5.02786 	; 
	84 	3539 	: 	100 	99.1096 	; 
	84 	4379 	: 	48 	3.7459 	; 
	85 	3350 	: 	66 	55.8106 	; 
	85 	4379 	: 	104 	4.13231 	; 
	86 	5962 	: 	0 	inf 	; 
	86 	9622 	: 	3381.04 	0.556779 	; 
	87 	1835 	: 	0 	inf 	; 
	87 	3389 	: 	10100.3 	2.59277 	; 
	88 	3832 	: 	11080.4 	0.541974 	; 
	88 	8128 	: 	0 	inf 	; 
	89 	90 	: 	0 	inf 	; 
	89 	2747 	: 	4320.69 	15.2225 	; 
	90 	89 	: 	4320.69 	1.51645 	; 
	90 	4845 	: 	0 	inf 	; 
	91 	2810 	: 	2570.92 	1.29473 	; 
	91 	4847 	: 	0 	inf 	; 
	92 	93 	: 	0 	inf 	; 
	92 	4672 	: 	0 	inf 	; 
	92 	9141 	: 	148.6 	2.34385 	; 
	93 	92 	: 	22 	4.88681 	; 
	93 	4672 	: 	3919.2 	5.35838 	; 
	93 	4766 	: 	3736.63 	1.36849 	; 
	94 	95 	: 	2094.19 	4.22164 	; 
	94 	2736 	: 	0 	inf 	; 
	94 	3837 	: 	1717.73 	7.11244 	; 
	95 	94 	: 	1691.73 	4.21626 	; 
	95 	4766 	: 	3941.2 	2.01808 	; 
	95 	8241 	: 	0 	inf 	; 
	96 	2057 	: 	0 	8.48144 	; 
	96 	3372 	: 	966.847 	9.78197 	; 
	96 	3832 	: 	0 	inf 	; 
	96 	3950 	: 	948.11 	22.1657 	; 
	97 	98 	: 	229.2 	3.18492 	; 
	97 	1836 	: 	1342.46 	12.6344 	; 
	97 	1837 	: 	0 	inf 	; 
	98 	97 	: 	0 	inf 	; 
	98 	3372 	: 	229.2 	14.1397 	; 
	98 	8421 	: 	0 	inf 	; 
	99 	100 	: 	0 	inf 	; 
	99 	1134 	: 	1334.64 	4.80263 	; 
	99 	1432 	: 	0 	9.87268 	; 
	100 	99 	: 	1334.64 	12.7196 	; 
	100 	2626 	: 	191.6 	12.2641 	; 
	100 	3372 	: 	0 	inf 	; 
	101 	102 	: 	142.8 	5.1198 	; 
	101 	5377 	: 	0 	inf 	; 
	101 	9493 	: 	2690.53 	31.7824 	; 
	102 	101 	: 	0 	inf 	; 
	102 	103 	: 	142.8 	6.04035 	; 
	102 	1433 	: 	0 	inf 	; 
	103 	102 	: 	0 	inf 	; 
	103 	104 	: 	142.8 	5.03295 	; 
	103 	1435 	: 	0 	11.8375 	; 
	104 	103 	: 	0 	inf 	; 
	104 	111 	: 	1752.13 	2.9766 	; 
	104 	2056 	: 	0 	inf 	; 
	105 	106 	: 	0 	6.86022 	; 
	105 	4776 	: 	100 	3.78975 	; 
	105 	5376 	: 	567.206 	0.975736 	; 
	106 	105 	: 	0 	6.86022 	; 
	106 	107 	: 	0 	10.8897 	; 
	106 	109 	: 	0 	2.00327 	; 
	107 	106 	: 	0 	10.8897 	; 
	107 	108 	: 	0 	1.96361 	; 
	108 	107 	: 	0 	1.96361 	; 
	108 	5376 	: 	0 	16.3505 	; 
	109 	106 	: 	0 	2.00327 	; 
	109 	110 	: 	0 	inf 	; 
	109 	5376 	: 	100 	2.64359 	; 
	110 	109 	: 	100 	18.1121 	; 
	110 	111 	: 	0 	inf 	; 
	110 	116 	: 	0 	8.52835 	; 
	111 	104 	: 	0 	inf 	; 
	111 	110 	: 	100 	1.09368 	; 
	111 	3372 	: 	208.221 	56.6154 	; 
	111 	3829 	: 	1611.33 	0.977083 	; 
	112 	114 	: 	1471.76 	5.25366 	; 
	112 	226 	: 	2 	11.9652 	; 
	112 	3829 	: 	0 	inf 	; 
	113 	1841 	: 	0 	inf 	; 
	113 	4269 	: 	0 	inf 	; 
	113 	5377 	: 	2972.08 	6.04605 	; 
	114 	112 	: 	0 	inf 	; 
	114 	1841 	: 	2622.85 	10.0253 	; 
	114 	2055 	: 	0 	inf 	; 
	115 	117 	: 	0 	8.32823 	; 
	115 	3829 	: 	567.206 	0.817914 	; 
	115 	5376 	: 	0 	inf 	; 
	116 	110 	: 	0 	8.52835 	; 
	116 	117 	: 	0 	1.91165 	; 
	117 	115 	: 	0 	8.32823 	; 
	117 	116 	: 	0 	1.91165 	; 
	118 	119 	: 	0 	3.34894 	; 
	118 	120 	: 	0 	10.1696 	; 
	118 	121 	: 	0 	39.311 	; 
	119 	118 	: 	0 	3.34894 	; 
	119 	3831 	: 	47.2437 	33.461 	; 
	119 	5252 	: 	768.406 	42.663 	; 
	120 	118 	: 	0 	10.1696 	; 
	121 	118 	: 	0 	39.311 	; 
	122 	123 	: 	0 	inf 	; 
	122 	7645 	: 	2506.37 	11.2578 	; 
	123 	122 	: 	2506.37 	10.4085 	; 
	123 	9909 	: 	0 	inf 	; 
	124 	3856 	: 	1950.39 	11.6389 	; 
	124 	10195 	: 	570.016 	96.6579 	; 
	125 	2173 	: 	0 	inf 	; 
	125 	10346 	: 	4116.86 	43.5715 	; 
	126 	2162 	: 	5670.69 	0.499728 	; 
	126 	8808 	: 	0 	inf 	; 
	127 	128 	: 	0 	inf 	; 
	127 	1838 	: 	8779.89 	2.6116 	; 
	128 	127 	: 	8779.89 	1.65541 	; 
	128 	136 	: 	0 	inf 	; 
	129 	130 	: 	0 	inf 	; 
	129 	140 	: 	6832.87 	14.1445 	; 
	129 	2056 	: 	2760.42 	30.5436 	; 
	130 	129 	: 	9593.28 	1.69368 	; 
	130 	2625 	: 	0 	inf 	; 
	131 	1839 	: 	8.60575 	1.45906 	; 
	131 	1840 	: 	0 	inf 	; 
	132 	133 	: 	0 	inf 	; 
	132 	2055 	: 	1151.09 	2.17932 	; 
	133 	132 	: 	1151.09 	1.52375 	; 
	133 	1435 	: 	0 	inf 	; 
	134 	3930 	: 	0 	87.9424 	; 
	134 	3962 	: 	0 	37.6435 	; 
	134 	8536 	: 	0 	64.0524 	; 
	135 	3111 	: 	174.6 	30.9684 	; 
	135 	3963 	: 	90.4 	28.5268 	; 
	136 	128 	: 	8779.89 	4.75143 	; 
	136 	137 	: 	0 	inf 	; 
	136 	9493 	: 	0 	inf 	; 
	137 	136 	: 	6080.75 	9.60053 	; 
	137 	138 	: 	0 	inf 	; 
	138 	137 	: 	6080.75 	1.01921 	; 
	138 	3351 	: 	0 	inf 	; 
	139 	140 	: 	0 	inf 	; 
	139 	8127 	: 	6832.87 	11.876 	; 
	140 	129 	: 	0 	inf 	; 
	140 	139 	: 	6832.87 	1.04497 	; 
	141 	142 	: 	0 	inf 	; 
	141 	8101 	: 	2462.61 	2.11409 	; 
	142 	141 	: 	2462.61 	2.41945 	; 
	142 	4268 	: 	0 	inf 	; 
	143 	144 	: 	6834.87 	0.802202 	; 
	143 	171 	: 	0 	inf 	; 
	144 	143 	: 	0 	inf 	; 
	144 	2624 	: 	6834.87 	0.898382 	; 
	145 	146 	: 	0 	inf 	; 
	145 	8101 	: 	3975.97 	0.68629 	; 
	146 	145 	: 	3975.97 	0.735629 	; 
	146 	1845 	: 	0 	inf 	; 
	147 	171 	: 	6834.87 	7.19446 	; 
	147 	8127 	: 	0 	inf 	; 
	148 	3214 	: 	0 	inf 	; 
	148 	3351 	: 	6438.58 	1.26985 	; 
	149 	6495 	: 	1602.47 	3.6615 	; 
	149 	6496 	: 	1720.62 	22.4276 	; 
	150 	1679 	: 	1720.62 	3.84765 	; 
	150 	6494 	: 	1602.47 	48.9254 	; 
	151 	152 	: 	0 	inf 	; 
	151 	155 	: 	10424.9 	14.0994 	; 
	151 	161 	: 	0 	inf 	; 
	152 	151 	: 	8775.15 	7.71235 	; 
	152 	153 	: 	0 	inf 	; 
	153 	152 	: 	8775.15 	1.57197 	; 
	153 	4939 	: 	0 	inf 	; 
	154 	163 	: 	10089.6 	1.78993 	; 
	154 	9908 	: 	0 	inf 	; 
	155 	151 	: 	0 	inf 	; 
	155 	156 	: 	0 	inf 	; 
	155 	3637 	: 	12002.4 	26.1756 	; 
	156 	155 	: 	1577.53 	35.0116 	; 
	156 	159 	: 	1014.83 	5.81268 	; 
	156 	160 	: 	0 	inf 	; 
	157 	158 	: 	0 	inf 	; 
	157 	5839 	: 	266.4 	10.3352 	; 
	158 	157 	: 	266.4 	2.09736 	; 
	158 	159 	: 	0 	inf 	; 
	159 	156 	: 	0 	inf 	; 
	159 	158 	: 	266.4 	13.0541 	; 
	159 	6492 	: 	748.425 	9.017 	; 
	160 	156 	: 	2592.36 	4.37151 	; 
	160 	6493 	: 	0 	inf 	; 
	160 	7772 	: 	0 	inf 	; 
	161 	151 	: 	1649.74 	12.9655 	; 
	161 	162 	: 	0 	inf 	; 
	162 	161 	: 	1649.74 	2.61212 	; 
	162 	3635 	: 	0 	inf 	; 
	163 	154 	: 	0 	inf 	; 
	163 	4939 	: 	10089.6 	4.21671 	; 
	164 	167 	: 	0 	inf 	; 
	164 	402 	: 	0 	inf 	; 
	164 	8071 	: 	169.533 	7.46491 	; 
	165 	166 	: 	0 	inf 	; 
	165 	2912 	: 	0 	inf 	; 
	165 	9729 	: 	312.886 	50.5797 	; 
	166 	165 	: 	0 	11.5645 	; 
	166 	2912 	: 	482.419 	5.78013 	; 
	166 	8069 	: 	0 	inf 	; 
	167 	164 	: 	0 	7.02717 	; 
	167 	402 	: 	123.798 	7.16909 	; 
	167 	3700 	: 	0 	inf 	; 
	168 	3701 	: 	0 	inf 	; 
	168 	9728 	: 	493.333 	13.7569 	; 
	168 	9729 	: 	0 	inf 	; 
	169 	170 	: 	329.459 	19.868 	; 
	169 	8005 	: 	3828.97 	45.7178 	; 
	169 	8858 	: 	0 	inf 	; 
	170 	169 	: 	0 	inf 	; 
	170 	8066 	: 	16 	23.6095 	; 
	170 	8081 	: 	313.459 	13.1658 	; 
	171 	143 	: 	6834.87 	4.96589 	; 
	171 	147 	: 	0 	inf 	; 
	172 	173 	: 	294.6 	2.3305 	; 
	172 	8419 	: 	561.238 	10.3567 	; 
	173 	172 	: 	561.238 	2.57567 	; 
	173 	3948 	: 	171.451 	26.3126 	; 
	174 	2582 	: 	0 	13.4516 	; 
	175 	3452 	: 	6355.73 	47.9227 	; 
	175 	3453 	: 	0 	inf 	; 
	176 	177 	: 	0 	inf 	; 
	176 	179 	: 	0 	inf 	; 
	176 	1573 	: 	0 	6.1088 	; 
	176 	3244 	: 	443.267 	3.11258 	; 
	177 	176 	: 	0 	4.56384 	; 
	177 	178 	: 	0 	inf 	; 
	177 	179 	: 	623 	10.5833 	; 
	178 	177 	: 	623 	22.7151 	; 
	178 	6624 	: 	0 	inf 	; 
	178 	9102 	: 	0 	inf 	; 
	179 	176 	: 	443.267 	7.62371 	; 
	179 	177 	: 	0 	inf 	; 
	179 	3686 	: 	623 	2.35193 	; 
	180 	3528 	: 	0 	inf 	; 
	180 	9102 	: 	0 	29.4515 	; 
	181 	5926 	: 	34 	17.2675 	; 
	181 	6039 	: 	35 	83.9444 	; 
	182 	225 	: 	0 	inf 	; 
	182 	3245 	: 	38.5333 	1.01894 	; 
	182 	3246 	: 	2616.63 	54.9097 	; 
	182 	7846 	: 	100 	31.1496 	; 
	183 	1578 	: 	0 	inf 	; 
	183 	3980 	: 	296.133 	24.9291 	; 
	183 	5227 	: 	219.133 	0.708683 	; 
	184 	185 	: 	0 	inf 	; 
	184 	1143 	: 	293.4 	19.0545 	; 
	184 	1577 	: 	515.267 	2.52178 	; 
	184 	3960 	: 	0 	inf 	; 
	185 	184 	: 	412 	0.544117 	; 
	185 	186 	: 	0 	inf 	; 
	185 	3958 	: 	618 	4.67705 	; 
	185 	9735 	: 	0 	inf 	; 
	186 	185 	: 	256.2 	0.778271 	; 
	186 	188 	: 	0 	inf 	; 
	186 	4749 	: 	0 	17.2379 	; 
	187 	188 	: 	256.2 	5.4454 	; 
	187 	5289 	: 	0 	inf 	; 
	188 	186 	: 	256.2 	2.02902 	; 
	188 	187 	: 	0 	inf 	; 
	189 	2713 	: 	0 	inf 	; 
	189 	8103 	: 	2372.13 	6.07788 	; 
	189 	9735 	: 	773.8 	9.18158 	; 
	190 	191 	: 	0 	41.9452 	; 
	190 	7251 	: 	198.4 	8.42491 	; 
	191 	190 	: 	198.4 	42.0204 	; 
	191 	225 	: 	2478.63 	18.4616 	; 
	191 	7250 	: 	0 	138.105 	; 
	191 	9098 	: 	787.981 	24.8687 	; 
	192 	837 	: 	0 	inf 	; 
	192 	10473 	: 	4059.25 	13.4582 	; 
	193 	194 	: 	0 	inf 	; 
	193 	7695 	: 	3771.48 	10.6931 	; 
	194 	193 	: 	3771.48 	1.87966 	; 
	194 	7694 	: 	0 	inf 	; 
	195 	196 	: 	4074.85 	1.26241 	; 
	195 	836 	: 	0 	inf 	; 
	196 	195 	: 	0 	inf 	; 
	196 	9224 	: 	4074.85 	4.013 	; 
	197 	198 	: 	0 	inf 	; 
	197 	3075 	: 	1023.38 	14.596 	; 
	198 	197 	: 	1023.38 	2.2331 	; 
	198 	553 	: 	0 	inf 	; 
	199 	203 	: 	0 	7.78561 	; 
	199 	3072 	: 	0 	inf 	; 
	199 	5680 	: 	2806.1 	5.03081 	; 
	200 	201 	: 	3310.85 	1.3207 	; 
	200 	550 	: 	0 	inf 	; 
	201 	200 	: 	0 	inf 	; 
	201 	830 	: 	3310.85 	20.5015 	; 
	202 	203 	: 	0 	inf 	; 
	202 	7800 	: 	0 	11.7145 	; 
	203 	199 	: 	0 	inf 	; 
	203 	202 	: 	0 	1.97018 	; 
	204 	552 	: 	2806.1 	5.01126 	; 
	204 	5680 	: 	0 	inf 	; 
	205 	7659 	: 	122.333 	1.19322 	; 
	205 	7858 	: 	1725.33 	15.9172 	; 
	206 	213 	: 	0 	46.5404 	; 
	206 	6184 	: 	0 	19.5684 	; 
	207 	210 	: 	339.4 	0.739606 	; 
	207 	838 	: 	0 	inf 	; 
	207 	6185 	: 	978.736 	3.07372 	; 
	207 	7685 	: 	0 	inf 	; 
	208 	209 	: 	0 	0.711377 	; 
	208 	212 	: 	0 	inf 	; 
	208 	5926 	: 	35 	8.56645 	; 
	208 	6422 	: 	34 	7.08941 	; 
	209 	208 	: 	34 	0.711378 	; 
	209 	5926 	: 	0 	inf 	; 
	209 	6810 	: 	0 	5.05572 	; 
	210 	207 	: 	0 	inf 	; 
	210 	211 	: 	1861 	8.98894 	; 
	210 	6185 	: 	0 	inf 	; 
	210 	10473 	: 	15.6 	19.9336 	; 
	211 	210 	: 	0 	inf 	; 
	211 	212 	: 	383.4 	8.02957 	; 
	211 	7685 	: 	1535.6 	0.928693 	; 
	211 	7694 	: 	0 	inf 	; 
	212 	208 	: 	0 	5.05572 	; 
	212 	211 	: 	0 	inf 	; 
	212 	6422 	: 	335.4 	8.45459 	; 
	212 	6810 	: 	629.267 	1.12063 	; 
	213 	206 	: 	0 	46.5404 	; 
	213 	9093 	: 	3762.56 	11.1734 	; 
	213 	9094 	: 	1673.85 	11.6516 	; 
	214 	4656 	: 	1017.69 	7.27374 	; 
	214 	8235 	: 	0 	inf 	; 
	215 	2993 	: 	0 	inf 	; 
	215 	8593 	: 	3024.29 	4.49104 	; 
	216 	3932 	: 	1180.47 	12.008 	; 
	216 	4304 	: 	1936.29 	6.69465 	; 
	216 	5092 	: 	0 	14.3169 	; 
	217 	218 	: 	0 	108.526 	; 
	218 	217 	: 	0 	108.526 	; 
	218 	4289 	: 	1345.53 	21.6415 	; 
	218 	4318 	: 	875.393 	8.21846 	; 
	218 	9781 	: 	256.524 	18.9752 	; 
	219 	80 	: 	167.421 	1.34329 	; 
	219 	220 	: 	704.771 	15.4593 	; 
	220 	219 	: 	167.421 	12.0364 	; 
	220 	5377 	: 	1419.53 	69.3098 	; 
	220 	6109 	: 	1651.15 	14.9228 	; 
	221 	3833 	: 	48 	0.363845 	; 
	221 	4295 	: 	390.8 	1.13978 	; 
	221 	8420 	: 	22 	15.8124 	; 
	222 	3538 	: 	390.8 	15.4904 	; 
	222 	4295 	: 	48 	8.73037 	; 
	223 	520 	: 	262.6 	7.48053 	; 
	223 	3211 	: 	0 	inf 	; 
	224 	3438 	: 	8966.41 	18.8786 	; 
	224 	10497 	: 	0 	inf 	; 
	225 	182 	: 	2478.63 	31.7806 	; 
	225 	191 	: 	805.981 	18.3822 	; 
	225 	3245 	: 	0 	inf 	; 
	225 	6044 	: 	0 	166.41 	; 
	226 	112 	: 	0 	inf 	; 
	226 	2055 	: 	0 	inf 	; 
	226 	8127 	: 	2 	6.3324 	; 
	227 	2623 	: 	69.6 	14.1783 	; 
	227 	4276 	: 	42 	10.0089 	; 
	227 	4774 	: 	0 	19.2144 	; 
	227 	9780 	: 	796.743 	8.2661 	; 
	228 	3535 	: 	4142.66 	6.08987 	; 
	228 	3536 	: 	3689.82 	10.9966 	; 
	228 	8227 	: 	0 	3.46997 	; 
	229 	234 	: 	103.6 	9.71282 	; 
	229 	1857 	: 	0 	inf 	; 
	229 	6388 	: 	0 	inf 	; 
	230 	3068 	: 	0 	inf 	; 
	230 	6388 	: 	103.6 	8.56905 	; 
	231 	232 	: 	0 	inf 	; 
	231 	8981 	: 	4103.03 	38.3619 	; 
	232 	231 	: 	4103.03 	9.618 	; 
	232 	234 	: 	0 	inf 	; 
	232 	6388 	: 	0 	inf 	; 
	233 	236 	: 	4103.03 	23.702 	; 
	233 	3069 	: 	0 	0.978527 	; 
	233 	8981 	: 	0 	inf 	; 
	234 	229 	: 	0 	inf 	; 
	234 	232 	: 	792.185 	19.5898 	; 
	234 	6389 	: 	103.6 	84.3836 	; 
	235 	2720 	: 	1341.77 	14.907 	; 
	235 	6389 	: 	117.867 	125.043 	; 
	235 	7018 	: 	176.9 	32.0588 	; 
	235 	9097 	: 	3638.67 	52.4903 	; 
	236 	233 	: 	0 	inf 	; 
	236 	3069 	: 	2909.7 	11.5702 	; 
	236 	5391 	: 	4103.03 	8285.92 	; 
	237 	830 	: 	0 	inf 	; 
	237 	1857 	: 	3310.85 	78.2342 	; 
	238 	2888 	: 	0 	inf 	; 
	238 	10498 	: 	6954.28 	0.885619 	; 
	239 	2888 	: 	7731.72 	12.2811 	; 
	239 	2889 	: 	0 	inf 	; 
	239 	3212 	: 	0 	inf 	; 
	240 	3390 	: 	0 	inf 	; 
	240 	3835 	: 	9785.1 	4.53152 	; 
	240 	4764 	: 	0 	inf 	; 
	241 	242 	: 	0 	inf 	; 
	241 	3361 	: 	3287.41 	2.8541 	; 
	242 	241 	: 	3287.41 	4.37829 	; 
	242 	2676 	: 	0 	inf 	; 
	243 	1605 	: 	1742.19 	8.96321 	; 
	243 	3083 	: 	0 	inf 	; 
	244 	3185 	: 	0 	inf 	; 
	244 	10090 	: 	2940.5 	16.8855 	; 
	244 	10091 	: 	0 	18.7118 	; 
	245 	881 	: 	6022.14 	9.41384 	; 
	245 	2313 	: 	0 	inf 	; 
	245 	6689 	: 	802.4 	10.0386 	; 
	246 	257 	: 	7178.8 	1.34284 	; 
	246 	4990 	: 	0 	inf 	; 
	247 	248 	: 	0 	inf 	; 
	247 	3093 	: 	6263.54 	1.28367 	; 
	248 	247 	: 	6263.54 	5.89487 	; 
	248 	274 	: 	0 	inf 	; 
	249 	271 	: 	0 	inf 	; 
	249 	273 	: 	6273.84 	2.94319 	; 
	250 	251 	: 	0 	inf 	; 
	250 	3749 	: 	6433.26 	8.11852 	; 
	251 	250 	: 	6433.26 	1.09878 	; 
	251 	5110 	: 	0 	inf 	; 
