id,X,Y
60,-118.3719743897,34.0215616274
61,-118.3082576528,34.0253583511
62,-118.3082576528,34.0108608558
63,-118.3090905513,33.988902793
64,-118.3087573919,33.9739846456
65,-118.3233968836,34.2515867975
66,-118.217184298,34.2053023193
67,-118.3233968836,34.1898877172
68,-118.3767779693,34.1534049802
69,-118.2831438876,34.1520629679
70,-118.2263393004,34.1457455619
71,-118.1558986346,34.1480771341
72,-117.9576072469,34.1341157487
73,-117.8243865476,34.1204817483
74,-117.6962841602,34.1215784137
75,-118.3233968836,34.1048023671
76,-118.2496363524,34.1025460428
77,-118.2236691779,34.0819167227
78,-118.2475171245,34.0614869284
79,-118.214091862,34.055158115
80,-118.1658188043,34.0609988671
81,-117.9999794709,34.064996653
82,-117.8065285889,34.0649331515
83,-117.698116537,34.0820283926
84,-118.3232303039,34.0357709253
85,-118.2741243476,34.0383025859
86,-118.2209527472,34.0307356573
87,-118.1698264115,34.035683729
88,-118.0270912803,34.0336905966
89,-117.8351444629,34.0013796727
90,-117.8128683121,34.0237258127
91,-117.7502559844,34.0241209461
92,-118.1725691123,34.0162833186
93,-118.2803237612,33.9883023333
94,-118.168993513,33.9862325986
95,-118.1365687459,33.9865094747
96,-118.0797572305,33.973919482
97,-118.2666614125,34.0720673874
98,-118.0731849529,34.1485433351
99,-118.0726361357,34.072067379
100,-118.0644322261,34.0413520279
101,-118.0839843292,34.0011696418
102,-118.0970978608,33.9832109419
103,-118.0688918793,33.9933456768
104,-117.9074631212,34.1205225075
105,-117.9076290084,34.0720576788
106,-117.9307104027,33.9970773301
107,-118.1482200418,34.1189154725
108,-117.7369292589,34.090093729
109,-117.7939828076,34.1020259255
110,-117.7367626792,34.1071983296
111,-117.6980328979,34.092507893
112,-117.6978663182,34.1068535038
113,-117.7618329247,34.1122324808
114,-117.7192718102,34.0904386138
115,-117.7192718102,34.0814021689
116,-117.7644149101,34.0943012273
117,-117.7593342291,34.0711918954
118,-117.8218849081,34.1064397221
119,-117.7367626792,34.1203692576
120,-117.7862368514,34.1198176364
121,-117.7184069068,34.0631240494
122,-117.6895053281,34.0631929858
123,-117.7492241521,34.0545696005
124,-117.7812074554,34.0534654968
125,-117.6893387484,34.0301379477
126,-117.8958559369,34.0272733242
127,-117.887360372,33.9934427472
128,-117.8237269249,34.0094621699
129,-117.8482141414,34.043010303
130,-117.8007389257,34.0431483338
131,-117.9773134124,34.054328079
132,-117.988807412,34.0441145428
133,-118.0037995854,34.0541900665
134,-117.9884742526,34.0194037401
135,-117.9503275002,34.0367986865
136,-117.963987036,34.0064242357
137,-117.9153457623,34.0312768676
138,-117.9631541375,34.0859270368
139,-117.9816444847,34.0677142292
140,-117.9335029501,34.1297872603
141,-117.9343358486,34.0863409187
142,-117.8195624323,34.0993081943
143,-117.8723681986,34.0858580563
144,-117.9080162553,34.0864098989
145,-117.9341692689,34.1073772512
146,-117.9813113253,34.1094461162
147,-117.9983024551,34.0773040365
148,-117.9438308918,34.0720608231
149,-117.9071833568,34.1064117636
150,-117.8725347783,34.1061359079
151,-117.8722016189,34.0720608231
152,-117.8728679377,34.1206171129
153,-118.0988669643,34.1744694497
154,-118.0966597833,34.1526916264
155,-118.0316936985,34.1619961307
156,-118.0815010302,34.1617204564
157,-118.1323703074,34.1517611196
158,-118.1319955031,34.177311868
159,-118.1780547913,34.1860624701
160,-118.1057591996,34.0956877952
161,-118.1345774885,34.0781669579
162,-118.1519017777,34.0766492344
163,-118.150069401,34.1042399577
164,-117.8717147149,34.1283744628
165,-117.8287371512,34.1278228939
166,-117.9080290905,34.1333384211
167,-118.0739424761,34.1035502992
168,-118.0264672603,34.0916872936
169,-118.0729429978,34.0821686713
170,-118.004645319,34.1110672734
171,-118.0307983326,34.1070674987
172,-117.9555875961,34.1395774274
173,-118.0163891882,34.1400944514
174,-118.1063422286,34.1221001541
175,-118.031131492,34.1298223141
176,-118.0732761573,34.1304428142
177,-118.0312980717,34.1476771074
178,-118.0313813616,34.1399565787
179,-118.1017612867,34.1461606307
180,-118.0279664777,34.0684047615
181,-118.0132241738,34.0597109755
182,-118.038460999,34.0373514307
183,-118.0809388237,34.0395255341
184,-118.0905171567,34.0719579173
185,-118.134827358,34.0712679958
186,-118.0652803314,34.062643503
187,-118.0906837364,34.062643503
188,-118.1343276189,34.062505504
189,-118.0681954763,34.0282057825
190,-118.1575654877,34.0203362848
191,-118.1080913155,34.009980571
192,-118.1504025604,34.0349702059
193,-118.1587315456,34.0089104086
194,-118.2591867124,34.0898286564
