startnode,endnode,category,capacity
58,60,2,1000
58,59,2,1000
58,54,2,3000
59,58,2,1000
59,56,2,600
59,54,2,600
60,49,2,6000
60,57,2,3000
60,58,2,1000
61,56,2,1000
61,7,2,1000
61,62,2,1500
61,47,2,1500
62,61,2,1500
62,55,2,1500
62,14,2,1500
62,63,2,1500
63,64,2,1500
63,51,2,1500
63,62,2,1500
63,93,2,1500
64,50,2,3000
64,1,2,1500
64,63,2,1500
65,66,1,8000
66,70,1,10000
66,159,1,8000
66,65,1,8000
67,69,1,8000
68,69,1,10000
68,37,1,8000
69,28,1,10000
69,67,1,8000
69,30,1,10000
69,68,1,10000
70,29,1,10000
70,31,1,10000
70,66,1,10000
70,71,1,10000
71,157,1,12000
71,70,1,10000
71,22,1,4000
71,26,2,6000
71,159,1,8000
72,172,2,3500
72,173,1,10000
72,140,1,10000
72,146,1,8000
73,118,1,8000
73,120,1,8000
73,152,1,10000
73,165,2,600
74,119,1,10000
74,112,2,1500
75,34,1,8000
75,37,1,8000
75,28,2,4000
76,28,1,8000
76,77,1,8000
76,31,1,8000
76,194,1,6000
77,20,1,8000
77,107,1,6000
77,76,1,8000
77,78,1,8000
78,77,1,8000
78,97,1,8000
78,16,1,10000
78,35,2,600
78,18,1,8000
79,20,1,8000
79,80,1,12000
79,15,1,6000
79,86,1,10000
80,87,1,6000
80,21,1,4000
80,185,1,8000
80,79,1,12000
81,139,1,8000
81,147,1,8000
81,133,1,10000
81,180,1,10000
81,131,2,1000
81,181,2,2000
82,124,1,4000
82,151,1,8000
82,130,1,10000
82,142,1,8000
82,117,1,10000
83,115,1,10000
83,111,2,1500
83,122,2,1500
84,33,1,8000
84,47,1,8000
84,48,2,1500
85,16,1,10000
85,46,1,8000
85,7,1,10000
85,5,1,8000
86,87,1,10000
86,92,1,10000
86,79,1,10000
86,8,2,6000
86,15,1,6000
86,5,1,10000
86,17,2,6000
87,92,1,8000
87,86,1,10000
87,192,1,10000
88,134,1,10000
88,182,1,10000
88,133,1,10000
88,103,1,10000
88,132,2,2000
89,128,1,14000
89,127,1,10000
90,91,1,10000
90,130,1,8000
90,128,1,14000
91,125,1,10000
91,124,1,4000
91,130,2,1000
91,90,1,10000
92,9,1,10000
92,193,1,8000
92,87,1,8000
92,86,1,10000
92,190,2,1000
93,13,1,8000
93,1,1,1000
93,63,2,1500
94,2,1,10000
94,9,1,1000
94,10,2,600
94,95,2,1000
95,193,1,8000
95,102,2,6000
95,94,2,1000
96,103,2,4000
96,102,2,9000
97,78,1,8000
97,39,1,8000
97,35,2,9000
98,176,2,3000
98,156,2,1000
98,177,1,10000
98,154,1,12000
98,179,2,6000
99,180,1,8000
99,184,1,8000
99,169,2,3000
99,186,2,4500
100,182,1,10000
100,183,1,8000
100,186,2,4500
100,189,2,3000
101,103,2,4500
101,191,2,6000
101,189,2,3000
101,102,2,3000
102,101,2,3000
102,96,2,9000
102,95,2,6000
103,88,1,10000
103,96,2,4000
103,101,2,4500
104,149,2,6000
104,166,2,3000
104,152,1,10000
104,140,1,10000
105,151,1,8000
105,148,1,8000
105,137,2,3000
105,144,2,6000
106,127,1,10000
106,136,1,10000
106,137,2,4500
107,163,2,1500
107,77,1,6000
107,24,1,5000
108,116,2,1500
108,114,2,1500
108,110,2,1500
109,116,2,1500
109,118,2,1500
110,119,2,1500
110,108,2,1500
110,113,2,6000
110,112,2,6000
111,114,2,1500
111,112,2,1500
111,83,2,1500
112,110,2,6000
112,111,2,1500
112,74,2,1500
113,120,2,7500
113,110,2,6000
113,116,2,1000
114,108,2,1500
114,111,2,1500
114,115,2,1500
115,117,1,10000
115,83,1,10000
115,114,2,1500
115,121,2,1500
116,109,2,1500
116,108,2,1500
116,113,2,1000
116,117,2,1000
117,82,1,10000
117,115,1,10000
117,116,2,1000
117,123,2,6000
118,142,1,8000
118,73,1,8000
118,150,2,1000
118,109,2,1500
119,74,1,10000
119,120,1,8000
119,110,2,1500
120,119,1,8000
120,73,1,8000
120,165,2,6000
120,113,2,7500
121,122,2,6000
121,115,2,1500
121,123,1,6000
122,121,1,6000
122,83,2,1500
122,125,2,1500
123,121,1,6000
123,124,1,6000
123,117,2,6000
124,123,1,6000
124,91,1,4000
124,82,1,4000
125,122,2,1500
125,91,1,10000
126,127,2,1000
126,137,2,1000
126,129,2,1000
127,89,1,10000
127,106,1,10000
127,126,2,1000
128,90,1,14000
128,89,1,14000
128,129,2,7500
129,126,2,1000
129,130,2,1000
129,151,2,7500
129,128,2,7500
130,90,1,8000
130,82,1,10000
130,129,2,1000
130,91,2,2000
131,132,2,4000
131,135,2,1000
131,148,2,4000
131,81,2,1000
132,88,2,2000
132,134,2,1000
132,133,2,10500
132,131,2,4000
133,132,2,10500
133,81,1,10000
133,88,1,10000
133,181,2,3000
33,84,1,8000
134,136,1,10000
134,88,1,10000
134,132,2,1000
135,148,2,1000
135,131,2,1000
135,137,2,1000
135,136,2,1500
136,106,1,10000
136,134,1,10000
136,135,2,1500
137,135,2,1000
137,126,2,1000
137,106,2,4500
137,105,2,3000
138,141,2,1000
138,139,2,1000
138,148,2,600
139,148,1,8000
139,138,2,1000
139,81,1,8000
140,104,1,10000
140,72,1,10000
140,145,2,1000
141,138,2,1000
141,144,2,1000
141,148,2,1000
141,145,2,1000
142,143,2,1500
142,82,1,8000
142,118,1,8000
143,151,2,7500
143,150,2,1000
143,144,2,3000
143,142,2,1500
144,141,2,1000
144,143,2,3000
144,105,2,6000
144,149,2,6000
145,141,2,1000
145,140,2,1000
145,146,2,1500
145,149,2,1500
146,72,1,8000
146,147,1,8000
146,145,2,1500
146,170,2,1500
147,146,1,8000
147,81,1,8000
148,138,2,600
148,141,2,1000
148,105,1,8000
148,139,1,8000
148,135,2,1000
148,131,2,4000
149,145,2,1500
149,150,2,1000
149,144,2,6000
149,104,2,6000
150,149,2,1000
150,118,2,1000
150,143,2,1000
150,152,2,1000
151,82,1,8000
151,105,1,8000
151,129,2,7500
151,143,2,7500
152,73,1,10000
152,104,1,10000
152,150,2,1000
152,164,2,1000
153,158,2,600
153,156,2,1000
153,154,2,4000
154,98,1,12000
154,157,1,12000
154,156,2,4500
154,153,2,4000
155,156,2,600
155,177,2,600
156,153,2,1000
156,155,2,600
156,98,2,1000
156,154,2,4500
157,154,1,12000
157,71,1,12000
157,158,2,1000
158,157,2,1000
158,159,2,1000
158,153,2,600
159,66,1,8000
159,71,1,8000
159,158,2,1000
160,167,2,4000
160,162,2,4000
160,169,2,1000
161,185,2,6000
161,162,2,3000
161,169,2,7500
162,161,2,3000
162,163,2,1000
162,160,2,4000
162,21,2,7500
163,174,2,4500
163,19,2,3000
163,107,2,1500
163,162,2,1000
164,152,2,1000
164,166,2,6000
164,165,2,6000
165,73,2,600
165,164,2,6000
165,120,2,6000
166,172,2,6000
166,164,2,6000
166,104,2,3000
167,169,2,3000
167,171,2,1500
167,160,2,4000
167,176,2,3000
168,171,2,2000
168,180,2,1000
168,169,2,1000
169,168,2,1000
169,160,2,1000
169,99,2,3000
169,161,2,7500
169,167,2,3000
170,146,2,1500
170,171,2,1500
170,180,2,1000
171,170,2,1500
171,167,2,1500
171,175,2,2000
171,168,2,2000
172,72,2,3500
172,166,2,6000
172,173,2,3000
173,178,2,6000
173,172,2,3000
173,72,1,10000
173,177,1,10000
174,176,2,4500
174,23,2,2000
174,163,2,4500
175,176,2,3000
175,178,2,2000
175,171,2,2000
176,167,2,3000
176,174,2,4500
176,175,2,3000
176,98,2,3000
177,173,1,10000
177,98,1,10000
177,178,2,2000
177,155,2,600
178,177,2,2000
178,175,2,2000
178,173,2,6000
179,26,2,6000
179,98,2,6000
179,23,2,2000
180,81,1,10000
180,99,1,8000
180,168,2,1000
180,170,2,1000
180,181,2,7500
181,186,2,1000
181,81,2,2000
181,133,2,3000
181,180,2,7500
181,182,2,7000
182,100,1,10000
182,181,2,7000
182,189,2,1000
182,88,1,10000
183,100,1,8000
183,187,2,4000
183,192,1,8000
183,189,2,4000
184,99,1,8000
184,185,1,8000
184,187,2,4000
185,80,1,8000
185,184,1,8000
185,188,2,6000
185,161,2,6000
186,99,2,4500
186,100,2,4500
186,181,2,1000
186,187,2,1500
187,184,2,4000
187,186,2,1500
187,188,2,1000
187,183,2,4000
87,80,1,6000
188,185,2,6000
188,187,2,1000
189,100,2,3000
189,183,2,4000
189,101,2,3000
189,182,2,1000
190,191,2,6000
190,192,2,6000
190,92,2,1000
191,101,2,6000
191,190,2,6000
192,87,1,10000
192,183,1,8000
192,190,2,6000
190,193,2,6000
193,190,2,6000
193,92,1,8000
193,95,1,8000
194,76,1,6000
194,35,2,2000
